id,title,price,location,image_url,product_url
178,Chiot Boerboel,250000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4951796_uploaded_image1_1726751862.jpg,https://sn.coinafrique.com/annonce/chiens/chiot-boerboel-4951796
179,Chiots Pitbull,200000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4951773_uploaded_image1_1726751081.jpg,https://sn.coinafrique.com/annonce/chiens/chiots-pitbull-4951773
180,Chiot chihuahua,390000.0,"Ngaparou, Sénégal",https://images.coinafrique.com/thumb_4946002_uploaded_image1_1726441968.jpg,https://sn.coinafrique.com/annonce/chiens/chiot-chihuahua-4946002
181,Chiot Berger Allemand,100000.0,"Thies, Sénégal",https://images.coinafrique.com/thumb_4943304_uploaded_image1_1726252041.jpg,https://sn.coinafrique.com/annonce/chiens/chiot-berger-allemand-4943304
182,Couple de chiot de race,75000.0,"Ngor, Dakar, Sénégal",https://images.coinafrique.com/thumb_4937044_uploaded_image1_1725971142.jpg,https://sn.coinafrique.com/annonce/chiens/couple-de-chiot-de-race-4937044
183,Chiot Bichon,180000.0,"Mamelles, Dakar, Sénégal",https://images.coinafrique.com/thumb_4935684_uploaded_image1_1725899364.jpg,https://sn.coinafrique.com/annonce/chiens/chiot-bichon-4935684
184,Lolou de pomeranien,700000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4934169_uploaded_image1_1725812855.jpg,https://sn.coinafrique.com/annonce/chiens/lolou-de-pomeranien-4934169
185,Chiot bichon Maltais,150000.0,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_4934038_uploaded_image1_1725809065.jpg,https://sn.coinafrique.com/annonce/chiens/chiot-bichon-maltais-4934038
186,Chiot Rottweiler,300000.0,"Thies, Sénégal",https://images.coinafrique.com/thumb_4920593_uploaded_image1_1725147642.jpg,https://sn.coinafrique.com/annonce/chiens/chiot-rottweiler-4920593
187,Berger Malinois,200000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4910751_uploaded_image1_1724605148.jpg,https://sn.coinafrique.com/annonce/chiens/berger-malinois-4910751
188,Chiot femelle caniche,150000.0,"Thies, Sénégal",https://images.coinafrique.com/thumb_4893046_uploaded_image1_1723590343.jpg,https://sn.coinafrique.com/annonce/chiens/chiot-femelle-caniche-4893046
189,Chiot Berger Allemand,150000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4892261_uploaded_image1_1723561480.jpg,https://sn.coinafrique.com/annonce/chiens/chiot-berger-allemand-4892261
190,Berger allemand,150000.0,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_4888701_uploaded_image1_1723387152.jpg,https://sn.coinafrique.com/annonce/chiens/berger-allemand-4888701
191,Chiot Berger Malinois,300000.0,"Mbour, Sénégal",https://images.coinafrique.com/thumb_4887929_uploaded_image1_1723329270.jpg,https://sn.coinafrique.com/annonce/chiens/chiot-berger-malinois-4887929
192,Berger Allemand,150000.0,"Almadies 2, Dakar, Sénégal",https://images.coinafrique.com/thumb_4885136_uploaded_image1_1723173479.jpg,https://sn.coinafrique.com/annonce/chiens/berger-allemand-4885136
193,Pitbull,135000.0,"Almadies 2, Dakar, Sénégal",https://images.coinafrique.com/thumb_4885134_uploaded_image1_1723173253.jpg,https://sn.coinafrique.com/annonce/chiens/pitbull-4885134
194,Golden Retriever,300000.0,"Almadies 2, Dakar, Sénégal",https://images.coinafrique.com/thumb_4885131_uploaded_image1_1723173005.jpg,https://sn.coinafrique.com/annonce/chiens/golden-retriever-4885131
195,Chiot Berger Allemand,150000.0,"Cambérène, Dakar, Sénégal",https://images.coinafrique.com/thumb_4875998_uploaded_image1_1722728517.jpg,https://sn.coinafrique.com/annonce/chiens/chiot-berger-allemand-4875998
196,Chiot Caniche,150000.0,"Thies, Sénégal",https://images.coinafrique.com/thumb_4867390_uploaded_image1_1722338649.jpg,https://sn.coinafrique.com/annonce/chiens/chiot-caniche-4867390
197,Bichons maltin pure race,250000.0,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_4865327_uploaded_image1_1722209598.jpg,https://sn.coinafrique.com/annonce/chiens/bichons-maltin-pure-race-4865327
198,Chiots berger allemand,150000.0,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_4858734_uploaded_image1_1721829571.jpg,https://sn.coinafrique.com/annonce/chiens/chiots-berger-allemand-4858734
199,Chiots Golden retriever,650000.0,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4853861_uploaded_image1_1721576301.jpg,https://sn.coinafrique.com/annonce/chiens/chiots-golden-retriever-4853861
200,Chiot Chiwawa,550000.0,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4853647_uploaded_image1_1721564020.jpg,https://sn.coinafrique.com/annonce/chiens/chiot-chiwawa-4853647
201,Chiot Husky,200000.0,"Mbour, Sénégal",https://images.coinafrique.com/thumb_4852383_uploaded_image1_1721477152.jpg,https://sn.coinafrique.com/annonce/chiens/chiot-husky-4852383
