id,name,price,address,image_url,product_url
122,Vache montbéliardes,2000000.0,"Pikine, Sénégal",https://images.coinafrique.com/thumb_4851931_uploaded_image2_1721447498.jpeg,https://sn.coinafrique.com/annonce/autres-animaux/vache-montbeliardes-4851931
123,Perruche ondulée,15000.0,"Dieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/thumb_4846061_uploaded_image1_1721147785.jpg,https://sn.coinafrique.com/annonce/autres-animaux/perruche-ondulee-4846061
124,Perruche ondulée,30000.0,"Dieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/thumb_4846053_uploaded_image1_1721147434.jpg,https://sn.coinafrique.com/annonce/autres-animaux/perruche-ondulee-4846053
125,Perruches ondulées blanches,20000.0,"Dieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/thumb_4846024_uploaded_image1_1721146605.jpg,https://sn.coinafrique.com/annonce/autres-animaux/perruches-ondulees-blanches-4846024
126,Persan pure race,500000.0,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4818301_uploaded_image1_1719774491.jpg,https://sn.coinafrique.com/annonce/autres-animaux/persan-pure-race-4818301
127,Chatons Persan pure race,430000.0,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4808981_uploaded_image1_1719268557.jpg,https://sn.coinafrique.com/annonce/autres-animaux/chatons-persan-pure-race-4808981
128,Scottish fold et scottish straight de race pure,700000.0,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4808971_uploaded_image1_1719267956.jpg,https://sn.coinafrique.com/annonce/autres-animaux/scottish-fold-et-scottish-straight-de-race-pure-4808971
129,Foin,4600.0,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_4807500_uploaded_image1_1719210823.jpg,https://sn.coinafrique.com/annonce/autres-animaux/foin-4807500
130,Paon,140000.0,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_4804686_uploaded_image1_1718999173.jpg,https://sn.coinafrique.com/annonce/autres-animaux/paon-4804686
131,Chat scotish,750000.0,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4803206_uploaded_image1_1718912151.jpg,https://sn.coinafrique.com/annonce/autres-animaux/chat-scotish-4803206
132,Poussin dinde rouge,15000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4794677_uploaded_image1_1718313441.jpg,https://sn.coinafrique.com/annonce/autres-animaux/poussin-dinde-rouge-4794677
133,Cochin Fauve,17500.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4794473_uploaded_image1_1718301841.jpg,https://sn.coinafrique.com/annonce/autres-animaux/cochin-fauve-4794473
134,Poussin Cochin disponible,17500.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4794466_uploaded_image1_1718301585.jpg,https://sn.coinafrique.com/annonce/autres-animaux/poussin-cochin-disponible-4794466
